0.00.146.170 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.255.402 W srv  llama_server: -----------------
0.00.255.405 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.255.406 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.255.406 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.255.406 W srv  llama_server: -----------------
0.00.256.692 I srv    load_model: loading model '/workspace/models/Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf'
0.04.588.119 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.602.018 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.602.057 I srv  llama_server: model loaded
0.04.602.060 I srv  llama_server: listening on http://127.0.0.1:8080
0.06.042.839 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.042.903 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.09.335.115 I slot print_timing: id  0 | task 0 | n_decoded =    226, tg =  75.29 t/s, tg_3s =  75.29 t/s
0.12.344.577 I slot print_timing: id  0 | task 0 | n_decoded =    452, tg =  75.19 t/s, tg_3s =  75.10 t/s
0.15.344.689 I slot print_timing: id  0 | task 0 | n_decoded =    677, tg =  75.13 t/s, tg_3s =  75.00 t/s
0.18.346.430 I slot print_timing: id  0 | task 0 | n_decoded =    902, tg =  75.08 t/s, tg_3s =  74.96 t/s
0.21.352.533 I slot print_timing: id  0 | task 0 | n_decoded =   1127, tg =  75.04 t/s, tg_3s =  74.85 t/s
0.24.362.779 I slot print_timing: id  0 | task 0 | n_decoded =   1352, tg =  74.99 t/s, tg_3s =  74.74 t/s
0.27.368.877 I slot print_timing: id  0 | task 0 | n_decoded =   1577, tg =  74.97 t/s, tg_3s =  74.85 t/s
0.30.369.363 I slot print_timing: id  0 | task 0 | n_decoded =   1801, tg =  74.93 t/s, tg_3s =  74.65 t/s
0.33.374.829 I slot print_timing: id  0 | task 0 | n_decoded =   2025, tg =  74.88 t/s, tg_3s =  74.53 t/s
0.36.379.612 I slot print_timing: id  0 | task 0 | n_decoded =   2249, tg =  74.85 t/s, tg_3s =  74.55 t/s
0.39.386.845 I slot print_timing: id  0 | task 0 | n_decoded =   2473, tg =  74.82 t/s, tg_3s =  74.49 t/s
0.42.398.056 I slot print_timing: id  0 | task 0 | n_decoded =   2697, tg =  74.78 t/s, tg_3s =  74.39 t/s
0.45.401.906 I slot print_timing: id  0 | task 0 | n_decoded =   2920, tg =  74.74 t/s, tg_3s =  74.24 t/s
0.48.410.979 I slot print_timing: id  0 | task 0 | n_decoded =   3143, tg =  74.70 t/s, tg_3s =  74.11 t/s
0.51.417.179 I slot print_timing: id  0 | task 0 | n_decoded =   3365, tg =  74.64 t/s, tg_3s =  73.85 t/s
0.54.420.131 I slot print_timing: id  0 | task 0 | n_decoded =   3587, tg =  74.59 t/s, tg_3s =  73.93 t/s
0.57.424.000 I slot print_timing: id  0 | task 0 | n_decoded =   3809, tg =  74.55 t/s, tg_3s =  73.90 t/s
1.00.430.450 I slot print_timing: id  0 | task 0 | n_decoded =   4031, tg =  74.51 t/s, tg_3s =  73.84 t/s
1.03.439.426 I slot print_timing: id  0 | task 0 | n_decoded =   4253, tg =  74.48 t/s, tg_3s =  73.78 t/s
1.06.450.647 I slot print_timing: id  0 | task 0 | n_decoded =   4475, tg =  74.44 t/s, tg_3s =  73.72 t/s
1.09.451.471 I slot print_timing: id  0 | task 0 | n_decoded =   4696, tg =  74.40 t/s, tg_3s =  73.65 t/s
1.12.452.827 I slot print_timing: id  0 | task 0 | n_decoded =   4917, tg =  74.37 t/s, tg_3s =  73.63 t/s
1.15.463.809 I slot print_timing: id  0 | task 0 | n_decoded =   5138, tg =  74.32 t/s, tg_3s =  73.40 t/s
1.18.477.124 I slot print_timing: id  0 | task 0 | n_decoded =   5359, tg =  74.28 t/s, tg_3s =  73.34 t/s
1.21.480.209 I slot print_timing: id  0 | task 0 | n_decoded =   5579, tg =  74.24 t/s, tg_3s =  73.26 t/s
1.24.486.054 I slot print_timing: id  0 | task 0 | n_decoded =   5799, tg =  74.20 t/s, tg_3s =  73.19 t/s
1.27.493.856 I slot print_timing: id  0 | task 0 | n_decoded =   6019, tg =  74.16 t/s, tg_3s =  73.14 t/s
